Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
COv=0	Carbon Monoxide	1496.92291, 1496.92291	13-12	-2.35610		299.7656	431.2934	CDMS
HCNv=0	Hydrogen Cyanide	1505.04164, 1505.04164	J=17-16	0.31890		401.8620	578.1865	JPL
HCNv=0	Hydrogen Cyanide	1593.35722, 1593.35722	J=18-17	0.28520		452.0648	650.4167	JPL
COv=0	Carbon Monoxide	1611.79352, 1611.79352	14-13	-2.36990	 n.r.	349.6975	503.1338	CDMS
HCNv=0	Hydrogen Cyanide	1681.63621, 1681.63621	J=19-18	0.24140		505.2135	726.8854	JPL
COv=0	Carbon Monoxide	1726.60251, 1726.60251	15-14	-2.39870		403.4612	580.4873	CDMS
HCNv=0	Hydrogen Cyanide	1769.87669, 1769.87669	J=20-19	0.18780		561.3068	807.5906	JPL
COv=0	Carbon Monoxide	1841.34551, 1841.34551	16-15	-2.44130	 2.6aa	461.0545	663.3508	CDMS
HCNv=0	Hydrogen Cyanide	1858.07678, 1858.07678	J=21-20	0.12480		620.3436	892.5309	JPL
HCNv=0	Hydrogen Cyanide	1946.23464, 1946.23464	J=22-21	0.05270		682.3223	981.7039	JPL
COv=0	Carbon Monoxide	1956.01814, 1956.01814	17-16	-2.49730	 0.7 q	522.4751	751.7208	CDMS
HCNv=0	Hydrogen Cyanide	2034.34842, 2034.34842	J=23-22	-0.02820		747.2417	1075.1079	JPL
COv=0	Carbon Monoxide	2070.61599, 2070.61599	18-17	-2.56590		587.7209	845.5944	CDMS
HCNv=0	Hydrogen Cyanide	2122.41631, 2122.41631	J=24-23	-0.11770		815.1003	1172.7408	JPL
COv=0	Carbon Monoxide	2185.13468, 2185.13468	19-18	-2.64670		656.7892	944.9677	CDMS
HCNv=0	Hydrogen Cyanide	2210.43654, 2210.43654	J=25-24	-0.21560		885.8965	1274.6001	JPL
HCNv=0	Hydrogen Cyanide	2298.40734, 2298.40734	J=26-25	-0.32170		959.6287	1380.6837	JPL
COv=0	Carbon Monoxide	2299.56984, 2299.56984	20-19	-2.73930		729.6774	1049.8370	CDMS
HCNv=0	Hydrogen Cyanide	2386.32698, 2386.32698	J=27-26	-0.43580		1036.2953	1490.9892	JPL
COv=0	Carbon Monoxide	2413.91711, 2413.91711	21-20	-2.84330	 0.85q	806.3828	1160.1983	CDMS
NII(N+-atom)	Atomic Nitrogen	2459.38010, 2459.38010	3P2-3P1	0.00000		0.0000	0.0000	SLAIM
HCNv=0	Hydrogen Cyanide	2474.19378, 2474.19378	J=28-27	-0.55790		1115.8946	1605.5142	JPL
COv=0	Carbon Monoxide	2528.17206, 2528.17206	22-21	-2.95840	 1.4 q	886.9024	1276.0474	CDMS
HCNv=0	Hydrogen Cyanide	2562.00605, 2562.00605	J=29-28	-0.68760		1198.4249	1724.2562	JPL
COv=0	Carbon Monoxide	2642.33035, 2642.33035	23-22	-3.08430		971.2332	1397.3799	CDMS
HCNv=0	Hydrogen Cyanide	2649.76216, 2649.76216	J=30-29	-0.82500		1283.8842	1847.2124	JPL
HCNv=0	Hydrogen Cyanide	2737.46051, 2737.46051	J=31-30	-0.97000		1372.2707	1974.3801	JPL
COv=0	Carbon Monoxide	2756.38758, 2756.38758	24-23	-3.22090		1059.3718	1524.1909	CDMS
HCNv=0	Hydrogen Cyanide	2825.09953, 2825.09953	J=32-31	-1.12230		1463.5826	2105.7568	JPL
COv=0	Carbon Monoxide	2870.33941, 2870.33941	25-24	-3.36780		1151.3150	1656.4759	CDMS
HCNv=0	Hydrogen Cyanide	2912.67767, 2912.67767	J=33-32	-1.28200		1557.8178	2241.3394	JPL
COv=0	Carbon Monoxide	2984.18145, 2984.18145	26-25	-3.52500		1247.0592	1794.2297	CDMS
COv=0	Carbon Monoxide	3097.90936, 3097.90936	27-26	-3.69220	 0.43q	1346.6008	1937.4470	CDMS
COv=0	Carbon Monoxide	3211.51875, 3211.51875	28-27	-3.86930		1449.9360	2086.1225	CDMS
COv=0	Carbon Monoxide	3325.00528, 3325.00528	29-28	-4.05620		1557.0607	2240.2501	CDMS
OIII(OII+-atom)	Atomic Oxygen	3393.00624, 3393.00624	3P1-3P0	0.00000		0.0000	0.0000	SLAIM
COv=0	Carbon Monoxide	3438.36461, 3438.36461	30-29	-4.25280	 0.16q	1667.9709	2399.8243	CDMS
COv=0	Carbon Monoxide	3551.59236, 3551.59236	31-30	-4.45890		1782.6624	2564.8388	CDMS
COv=0	Carbon Monoxide	3664.68418, 3664.68418	32-31	-4.67450		1901.1308	2735.2874	CDMS
COv=0	Carbon Monoxide	3777.63573, 3777.63573	33-32	-4.89950		2023.3715	2911.1635	CDMS
COv=0	Carbon Monoxide	3890.44272, 3890.44272	34-33	-5.13380		2149.3799	3092.4604	CDMS
COv=0	Carbon Monoxide	4003.10079, 4003.10079	35-34	-5.37730		2279.1511	3279.1712	CDMS
COv=0	Carbon Monoxide	4115.60559, 4115.60559	36-35	-5.63000		2412.6801	3471.2885	CDMS
